"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Current-dollar Gross Domestic Product (GDP) (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4","2022:Q1"
"13000","Georgia",383249.1,386956.2,390482.4,397463.0,399028.2,403167.1,408141.4,413725.8,411509.0,417384.7,423112.7,426418.6,416620.3,418649.9,419297.8,410942.5,408898.3,409100.2,409151.0,411213.7,411799.0,415065.2,419616.2,425884.7,426676.0,428903.5,433641.7,437394.4,442001.0,446769.9,450437.0,451850.8,460277.5,461258.4,465235.7,472239.8,477591.9,487131.6,495194.9,500398.6,510448.9,519482.2,525015.9,529085.7,539140.5,544626.2,549351.2,557068.8,565729.3,568903.2,575708.8,587276.4,588310.7,599688.8,607050.2,614310.8,623183.3,637259.7,643694.0,647057.8,637690.1,585215.7,630252.1,637353.5,653600.0,675620.5,690040.3,713947.6,725983.8
"15000","Hawaii",55900.0,56858.0,57759.3,58960.4,59483.8,60433.0,61438.3,62030.8,62648.9,63345.2,64892.7,65767.7,65609.1,66107.0,65709.5,65287.1,64737.1,64562.7,64188.7,64710.4,65573.7,66299.4,67501.3,68117.5,68421.6,68635.1,69013.9,70264.9,70855.3,71866.3,72410.1,72489.4,74121.7,73986.7,74655.8,75455.6,75233.1,76274.8,77437.6,78147.7,79894.0,80913.9,81707.0,82406.3,82999.2,83639.9,84150.2,84868.1,86024.0,86717.2,87755.3,88214.8,88945.6,90580.8,90763.0,90816.2,90586.9,91314.8,92627.5,92595.3,90324.4,77669.9,81034.8,82509.3,84183.3,89170.4,91946.8,94937.3,95586.5
"16000","Idaho",47497.0,48324.1,49347.3,49402.8,50612.9,51293.0,50831.7,51765.5,52804.0,53375.7,54137.5,55420.8,55403.5,56669.4,56946.4,55783.8,54730.1,53503.3,53885.1,54137.7,54950.3,55114.6,55828.1,56457.2,56269.0,56758.1,57097.1,57640.2,57587.0,58164.9,58816.1,58727.8,60557.8,61484.8,62229.3,63071.2,63206.8,64317.7,65075.1,65701.2,65898.7,65629.2,66103.9,65967.9,67562.3,68710.7,69552.0,69524.8,70012.1,71318.4,72007.1,73416.1,75819.4,77257.3,77751.3,79147.5,80531.4,81815.3,83080.5,84253.3,84482.3,77635.9,85470.0,87698.2,90552.1,93410.5,94849.9,98454.6,100797.7
"17000","Illinois",582315.2,585846.2,593681.0,597405.0,615033.8,621491.5,625751.7,634694.8,640898.7,647286.3,652419.1,659976.4,650988.6,656748.7,660681.2,650211.4,646138.9,646492.8,649142.9,657676.4,652523.5,662942.1,672613.9,677539.9,680955.8,690224.7,695318.5,705024.2,721011.3,727758.5,729198.2,727628.4,737708.8,735411.1,740039.4,751326.6,751153.3,767880.4,780221.4,786169.3,790762.1,798360.8,806568.8,804030.2,800575.2,805839.8,805167.4,816590.5,814032.4,821772.0,831393.1,841103.2,854362.7,866665.3,871597.5,877516.6,881148.3,887825.7,895410.5,897559.8,885630.0,804348.4,866285.8,877203.3,906797.7,927452.1,945653.6,973485.9,987387.7
"18000","Indiana",243862.1,247123.7,250257.5,251438.6,255605.2,258280.1,260850.3,263675.5,266353.5,272795.7,276029.6,278859.3,277801.3,277549.6,276232.9,270571.0,260643.7,259481.2,262361.0,270821.3,274735.9,281428.3,286035.2,288049.2,287457.8,289906.9,292197.2,295862.5,298023.6,301341.9,302567.7,300122.4,311398.0,308324.5,312661.4,316169.9,320818.1,327921.9,332092.6,331000.6,328681.8,332551.9,332796.0,333752.9,334336.7,339219.3,342405.3,346041.5,347446.8,350417.3,353727.4,361009.7,367978.3,373791.6,375029.5,377274.0,375794.3,380255.8,382316.6,385714.6,384065.3,344388.3,383794.0,389099.2,403693.8,415922.8,423728.5,438011.7,447236.0
"19000","Iowa",122230.8,122820.8,124314.5,123397.6,125734.9,127496.8,127892.4,130461.2,134118.7,137964.6,139262.7,140374.7,139079.1,138538.2,137489.0,135087.5,134576.2,135355.2,137363.5,140283.5,139434.5,141860.3,142959.7,144681.2,144777.1,146636.5,149260.5,153236.4,156232.6,159467.6,160066.6,158386.7,161442.5,160363.1,162577.6,164417.9,166554.4,173197.5,175933.8,176697.9,178465.5,179884.6,181466.0,181381.0,180317.9,179815.2,181913.0,181999.4,183212.8,183084.7,182532.5,185369.0,187805.0,190612.8,190932.2,192262.3,189896.3,192396.1,196365.1,198632.9,196419.1,181989.0,196938.3,201724.1,210044.9,219940.7,223685.5,225695.7,231651.3
"20000","Kansas",104756.6,105279.0,106565.5,105504.1,112056.3,113708.8,114284.9,116317.6,121054.1,123412.5,124600.7,126447.6,128063.3,130026.8,129788.6,126538.6,124759.6,124455.9,124944.6,127235.6,124589.4,127204.9,130127.6,132443.5,133157.5,136722.1,137593.3,137962.6,144864.5,143181.8,139406.1,139820.4,142458.8,143678.1,144641.0,147154.9,144093.0,148874.0,152978.0,154789.4,151732.5,154889.7,156261.2,156949.4,156626.0,160175.7,161816.8,163185.7,163698.8,164074.9,164974.1,166945.3,169052.6,172037.8,173367.5,174852.2,173097.8,175952.0,177770.6,180133.6,178881.8,162994.4,177873.1,180817.9,185475.4,191169.5,194278.1,198291.5,202278.7
"21000","Kentucky",140967.8,143934.4,146600.5,148541.6,151387.6,153539.2,154272.0,154435.0,154403.6,156666.6,157585.6,159998.9,159793.6,161867.8,160435.8,157438.1,156091.7,155147.5,157225.8,161454.3,161357.3,165752.3,168891.0,169634.1,168132.5,170403.5,172058.3,175753.3,176704.9,178502.3,179052.1,178315.5,184845.2,183411.0,184656.5,185184.7,184832.7,187991.6,189403.9,189707.0,190561.6,193780.5,194437.9,194872.2,192083.7,196171.4,198484.6,199200.1,198956.2,200523.5,201977.6,204762.8,204793.4,208934.5,208836.0,210437.3,212381.8,215349.8,217093.6,219581.0,217970.5,195399.1,217252.9,219535.8,225700.8,231511.0,236300.6,244480.3,249046.6
"22000","Louisiana",192506.0,198324.1,201444.2,206104.5,205690.8,208132.4,208965.0,208306.8,201514.5,202827.9,203178.4,204643.2,208053.3,214948.6,217057.4,209510.3,205180.1,201560.3,203920.9,208966.3,218847.5,224085.2,229040.9,229262.1,227083.3,229374.3,229594.2,233728.1,236763.8,238130.5,234401.8,232242.7,231818.3,228835.3,230416.6,232259.7,233108.8,240492.1,244771.4,244576.8,237729.1,236990.6,235201.1,230533.3,225064.2,226215.2,226803.0,230280.3,236755.6,239407.7,243329.0,247324.6,253287.2,256721.9,256507.2,256724.7,255074.6,254163.4,254161.7,254848.4,247300.5,219516.3,236762.0,238170.7,243641.4,253297.9,257160.7,267126.3,271519.2
"23000","Maine",46324.2,46781.7,47226.2,47982.1,48388.1,49023.5,49206.3,49563.9,49651.1,50509.4,50847.1,50829.6,50754.0,50775.7,50889.9,50433.2,50315.2,50820.9,51438.5,51920.7,51734.5,52235.6,52676.5,52378.2,52169.8,52250.6,52526.9,53354.6,53453.5,54151.6,53893.1,53220.6,54322.1,53930.1,54443.1,55185.1,55211.7,56071.7,56779.9,57579.9,57043.3,57966.9,58412.1,59103.0,59239.9,60298.7,60350.8,61128.2,61642.6,61799.0,62683.6,63526.4,64503.8,65530.4,65942.3,65991.1,67202.4,67823.0,68867.7,69918.6,70099.5,64704.4,70256.0,72027.3,73174.0,75213.9,76664.5,79176.6,80454.5
