index,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2011-07-01,11698.333333333334,17647.333333333332,11798.666666666666,11473.666666666666,15256.666666666666,14654.666666666666,21196.333333333332,14729.666666666666,22429.333333333332,13535.0,12345.333333333334,14249.666666666666,11240.0,14775.333333333334,12721.666666666666,13772.333333333334,14497.666666666666,11652.0,13065.333333333334,13262.0,17397.333333333332,18298.333333333332,12628.333333333334,15183.333333333334,10877.0,12905.666666666666,12890.666666666666,15281.333333333334,12934.0,16469.333333333332,17728.333333333332,11728.666666666666,16965.333333333332,12318.666666666666,16474.0,13170.333333333334,13407.0,12515.333333333334,14832.666666666666,14803.666666666666,11532.333333333334,14909.666666666666,12638.333333333334,14118.666666666666,11456.0,14706.333333333334,15955.666666666666,14749.333333333334,11618.666666666666,13870.666666666666,16988.0
2011-10-01,11721.666666666666,17862.666666666668,11868.666666666666,11607.333333333334,15255.0,14655.333333333334,21025.666666666668,14728.0,22410.333333333332,13592.666666666666,12339.0,14373.0,11273.333333333334,14785.666666666666,12795.0,13878.0,14524.0,11772.333333333334,13155.0,13376.666666666666,17404.0,18349.666666666668,12779.0,15210.333333333334,10942.0,12991.666666666666,13054.666666666666,15394.666666666666,12924.666666666666,16533.333333333332,17764.666666666668,11800.666666666666,16952.0,12371.333333333334,16944.0,13271.333333333334,13523.0,12669.0,14862.0,14829.0,11544.666666666666,15149.666666666666,12707.0,14139.333333333334,11514.0,14898.666666666666,15998.0,14948.666666666666,11680.333333333334,13793.333333333334,17273.333333333332
2012-01-01,11857.0,17845.0,12034.666666666666,11996.0,15726.666666666666,14983.666666666666,21162.0,14519.333333333334,22648.333333333332,13690.333333333334,12402.0,14503.666666666666,11482.333333333334,15144.666666666666,12932.666666666666,14117.666666666666,15092.333333333334,11867.333333333334,13443.666666666666,13378.333333333334,17546.333333333332,18622.0,12931.0,15656.333333333334,11147.666666666666,13252.333333333334,13422.333333333334,15461.0,13179.333333333334,16783.666666666668,18051.333333333332,11850.0,17387.0,12870.0,18095.0,13380.666666666666,13884.666666666666,13002.333333333334,15101.666666666666,15109.333333333334,11894.666666666666,15250.333333333334,12945.333333333334,14591.0,11832.0,14920.333333333334,16279.0,15482.666666666666,11746.666666666666,14163.0,17774.666666666668
2012-04-01,11957.666666666666,17939.666666666668,12156.666666666666,12185.333333333334,15891.666666666666,15120.0,21380.666666666668,14672.333333333334,22746.333333333332,13768.0,12446.0,14625.0,11613.333333333334,15301.666666666666,13108.666666666666,14322.0,15099.0,11965.333333333334,13679.0,13513.333333333334,17534.666666666668,18843.666666666668,13002.333333333334,15843.0,11244.333333333334,13408.666666666666,13495.0,15618.666666666666,13263.0,16928.0,18097.0,11966.0,17629.666666666668,13016.333333333334,18644.333333333332,13561.666666666666,14026.666666666666,13098.0,15220.0,15172.666666666666,11970.666666666666,15294.333333333334,13107.333333333334,14709.0,11940.0,15113.333333333334,16368.0,15701.666666666666,11862.333333333334,14264.0,18120.666666666668
2012-07-01,11835.666666666666,17820.0,12072.333333333334,12062.333333333334,15855.666666666666,15025.333333333334,21127.666666666668,14561.666666666666,22433.666666666668,13711.666666666666,12392.666666666666,14524.333333333334,11630.333333333334,15216.666666666666,13123.333333333334,14180.0,14839.333333333334,11896.0,13599.666666666666,13400.666666666666,17520.333333333332,18716.333333333332,12998.0,15815.333333333334,11149.666666666666,13337.666666666666,13459.0,15343.0,13142.666666666666,16927.0,18088.0,11839.333333333334,17548.666666666668,13006.666666666666,18837.0,13517.666666666666,13953.333333333334,13067.666666666666,15241.0,15113.666666666666,11922.666666666666,14576.666666666666,13084.333333333334,14604.666666666666,11844.666666666666,14966.666666666666,16332.0,15686.333333333334,11755.0,14182.333333333334,17784.0
2012-10-01,12107.666666666666,18014.0,12454.666666666666,12531.666666666666,16669.333333333332,15689.0,21824.666666666668,14987.0,23009.666666666668,14198.666666666666,12759.666666666666,14757.666666666666,12061.666666666666,15698.666666666666,13392.666666666666,14517.0,15370.333333333334,12094.333333333334,13939.666666666666,13575.333333333334,17782.333333333332,19359.666666666668,13412.0,16299.333333333334,11326.333333333334,13745.333333333334,13857.333333333334,15795.0,13611.666666666666,17525.0,18517.666666666668,12003.666666666666,18229.333333333332,13231.666666666666,19593.666666666668,13861.0,14424.0,13321.333333333334,15572.333333333334,15397.0,12184.666666666666,15469.333333333334,13363.666666666666,15079.666666666666,12368.666666666666,15345.666666666666,16769.0,16212.666666666666,11909.666666666666,14635.666666666666,18640.0
2013-01-01,11966.666666666666,17544.666666666668,12233.666666666666,12166.666666666666,15865.0,15510.0,20761.333333333332,14644.666666666666,22525.666666666668,13602.666666666666,12478.666666666666,14538.333333333334,11842.0,15519.0,13274.666666666666,14440.333333333334,15122.333333333334,12006.0,13730.0,13357.0,17395.0,18716.333333333332,13067.333333333334,15792.0,11321.0,13460.0,13477.333333333334,15612.0,13100.666666666666,16801.333333333332,18125.333333333332,11649.666666666666,17592.666666666668,12769.0,18096.333333333332,13631.0,14471.666666666666,13106.333333333334,15251.0,15079.666666666666,11948.666666666666,15264.0,13122.333333333334,14716.333333333334,12031.666666666666,15090.0,16182.0,15768.666666666666,11756.666666666666,14212.333333333334,17804.333333333332
2013-04-01,12003.0,17515.0,12363.333333333334,12213.0,16104.666666666666,15728.333333333334,20833.333333333332,14804.666666666666,22611.333333333332,13668.666666666666,12587.0,14591.0,12031.666666666666,15665.666666666666,13261.666666666666,14497.0,15426.333333333334,12004.333333333334,13788.666666666666,13406.0,17410.333333333332,18861.333333333332,13174.666666666666,15893.0,11362.0,13512.666666666666,13559.333333333334,15601.333333333334,13170.0,16935.333333333332,18247.666666666668,11685.0,17793.333333333332,12766.333333333334,18343.333333333332,13748.333333333334,14663.0,13224.333333333334,15412.333333333334,15092.666666666666,12004.0,15272.333333333334,13124.0,14902.333333333334,12170.666666666666,15267.333333333334,16191.333333333334,15866.666666666666,11783.333333333334,14337.0,17847.666666666668
2013-07-01,12058.666666666666,17684.333333333332,12418.0,12267.666666666666,16235.666666666666,15885.333333333334,20905.666666666668,14818.0,22562.333333333332,13741.333333333334,12607.333333333334,14670.333333333334,12101.0,15718.333333333334,13251.0,14533.666666666666,15448.0,12030.666666666666,13803.0,13446.333333333334,17383.666666666668,18910.0,13228.0,16030.666666666666,11561.333333333334,13540.666666666666,13579.0,15565.0,13241.0,16975.666666666668,18266.0,11688.666666666666,17855.666666666668,12785.666666666666,18474.666666666668,13783.666666666666,14737.0,13308.0,15429.666666666666,15166.333333333334,12117.0,15209.333333333334,13142.333333333334,14998.333333333334,12257.333333333334,15282.333333333334,16159.666666666666,16039.333333333334,11757.333333333334,14401.0,17933.666666666668
2013-10-01,11986.333333333334,17751.0,12475.666666666666,12246.333333333334,16445.0,16063.666666666666,21019.0,14922.333333333334,22720.333333333332,13839.0,12696.666666666666,14799.0,12130.333333333334,15832.0,13234.333333333334,14441.333333333334,15561.333333333334,12043.333333333334,13844.666666666666,13544.666666666666,17467.666666666668,19008.333333333332,13277.0,16060.0,11434.0,13573.0,13618.333333333334,15411.0,13340.0,17072.0,18435.333333333332,11771.666666666666,17950.0,12866.333333333334,18343.0,13843.0,14826.0,13374.0,15513.666666666666,15247.0,12177.666666666666,15077.333333333334,13203.333333333334,15100.0,12226.666666666666,15395.0,16231.666666666666,16097.666666666666,11792.666666666666,14445.333333333334,18190.333333333332
2014-01-01,12089.666666666666,18289.0,12711.333333333334,12594.0,16649.333333333332,16555.0,21367.0,15097.666666666666,23458.333333333332,14133.0,13020.333333333334,15052.333333333334,12256.666666666666,16093.0,13447.666666666666,14576.333333333334,15341.666666666666,12301.333333333334,14106.333333333334,13625.333333333334,17583.666666666668,19199.0,13439.333333333334,16260.0,11488.333333333334,13692.0,13858.0,15941.333333333334,13556.333333333334,17166.0,18734.0,12066.333333333334,18109.0,13167.0,18797.333333333332,14007.333333333334,15272.0,13660.333333333334,15719.333333333334,15489.333333333334,12412.0,15534.0,13394.666666666666,15492.666666666666,12498.0,15472.0,16490.0,16534.666666666668,11935.333333333334,14599.333333333334,18706.333333333332
2014-04-01,12282.0,18567.666666666668,12840.666666666666,12861.333333333334,16935.666666666668,16841.333333333332,21695.0,15268.333333333334,23716.0,14412.0,13237.333333333334,15282.666666666666,12503.0,16320.666666666666,13679.0,14917.666666666666,15610.333333333334,12498.333333333334,14324.666666666666,13854.0,17820.0,19423.666666666668,13668.666666666666,16561.333333333332,11640.666666666666,13917.333333333334,14140.666666666666,16357.666666666666,13811.0,17501.666666666668,18916.666666666668,12314.333333333334,18268.0,13348.666666666666,19286.0,14189.666666666666,15510.333333333334,13946.666666666666,15932.0,15616.333333333334,12670.0,15877.333333333334,13545.0,15745.666666666666,12631.666666666666,15749.0,16696.333333333332,16823.666666666668,12144.666666666666,14857.0,19167.666666666668
2014-07-01,12437.333333333334,18711.0,12976.0,12990.666666666666,17267.666666666668,17022.666666666668,21999.0,15421.333333333334,23978.333333333332,14606.666666666666,13418.666666666666,15457.666666666666,12628.0,16500.333333333332,13821.333333333334,14993.333333333334,15805.666666666666,12612.666666666666,14457.0,14006.333333333334,18015.333333333332,19786.0,13828.666666666666,16819.333333333332,11660.0,14095.0,14259.666666666666,16360.333333333334,14007.333333333334,17572.666666666668,19114.0,12511.666666666666,18544.0,13522.0,19248.333333333332,14371.0,15670.666666666666,14176.0,16123.0,15775.0,12812.0,15892.0,13631.666666666666,15904.0,12762.666666666666,16018.0,16859.333333333332,17130.0,12266.0,14971.666666666666,19445.0
2014-10-01,12587.666666666666,18886.0,13132.0,13203.333333333334,17488.333333333332,17263.333333333332,22274.333333333332,15551.333333333334,24093.333333333332,14826.333333333334,13592.333333333334,15578.666666666666,12839.666666666666,16734.0,13970.0,15110.666666666666,15910.666666666666,12769.333333333334,14545.0,14258.666666666666,18120.0,20165.0,14004.333333333334,16979.333333333332,11737.0,14235.666666666666,14383.666666666666,16612.0,14287.333333333334,17962.666666666668,19310.666666666668,12712.666666666666,18792.333333333332,13667.666666666666,19332.333333333332,14533.333333333334,15673.0,14360.0,16306.0,16042.0,12950.333333333334,16019.333333333334,13752.0,15995.666666666666,12976.0,16257.666666666666,17039.333333333332,17325.333333333332,12415.333333333334,15181.0,19622.333333333332
2015-01-01,12733.333333333334,19166.666666666668,13310.333333333334,13148.0,17882.0,17420.0,22224.333333333332,15789.333333333334,25015.666666666668,15060.666666666666,13818.0,15748.0,13094.0,16940.0,14052.333333333334,15251.0,15789.333333333334,12912.0,14359.333333333334,14282.0,18448.333333333332,20480.666666666668,14263.333333333334,17232.666666666668,11732.0,14307.0,14646.666666666666,16768.0,14653.0,17869.666666666668,19558.666666666668,12626.0,18885.0,13878.333333333334,18499.666666666668,14640.0,15155.666666666666,14709.333333333334,16472.666666666668,16078.666666666666,13146.666666666666,16201.333333333334,13977.333333333334,15994.0,13299.666666666666,16151.666666666666,17199.333333333332,17521.333333333332,12449.666666666666,15335.666666666666,19548.666666666668
2015-04-01,12821.666666666666,19219.0,13429.0,13264.0,18134.0,17490.666666666668,22369.333333333332,16001.333333333334,25230.333333333332,15194.666666666666,13940.666666666666,15881.666666666666,13076.333333333334,17093.0,14201.666666666666,15293.666666666666,15796.333333333334,13053.0,14332.0,14505.0,18553.666666666668,20743.333333333332,14413.333333333334,17257.666666666668,11837.0,14393.333333333334,14660.666666666666,16867.0,14834.0,18185.0,19677.0,12699.666666666666,19154.666666666668,13977.0,18018.333333333332,14776.666666666666,14967.0,14815.333333333334,16567.666666666668,16216.0,13286.0,16294.666666666666,14137.333333333334,15840.666666666666,13446.333333333334,16264.0,17393.666666666668,17655.333333333332,12534.333333333334,15479.333333333334,19335.666666666668
2015-07-01,12909.666666666666,19188.666666666668,13443.0,13397.0,18278.333333333332,17444.333333333332,22479.666666666668,15956.0,25296.0,15255.666666666666,14044.333333333334,15968.666666666666,13162.666666666666,17246.666666666668,14255.0,15439.0,15790.333333333334,13120.666666666666,14375.666666666666,14632.0,18656.666666666668,20851.0,14536.333333333334,17354.666666666668,11895.0,14496.333333333334,14691.333333333334,16940.666666666668,14843.0,18237.0,19813.666666666668,12693.333333333334,19315.666666666668,14084.0,17837.0,14858.333333333334,14959.333333333334,15001.666666666666,16696.666666666668,16255.666666666666,13432.666666666666,16430.0,14246.666666666666,15798.333333333334,13530.0,16346.333333333334,17499.333333333332,17765.333333333332,12509.333333333334,15581.666666666666,19288.666666666668
2015-10-01,12899.666666666666,19148.0,13573.666666666666,13470.666666666666,18435.666666666668,17440.0,22680.0,16073.666666666666,25326.333333333332,15336.666666666666,14100.0,16103.666666666666,13129.0,17308.666666666668,14361.333333333334,15483.0,15743.333333333334,13218.666666666666,14419.0,14773.0,18777.0,21084.333333333332,14665.333333333334,17443.666666666668,11901.666666666666,14558.333333333334,14568.666666666666,16813.333333333332,14977.666666666666,18589.666666666668,19835.666666666668,12765.666666666666,19284.0,14135.666666666666,17823.666666666668,14971.666666666666,14794.666666666666,15014.0,16820.333333333332,16346.0,13531.333333333334,16606.0,14337.333333333334,15663.666666666666,13626.666666666666,16419.0,17549.666666666668,17794.666666666668,12469.666666666666,15656.333333333334,19018.333333333332
