index,purchase_index
2020-05-20,258.9
2020-05-27,281.2
2020-06-03,296.0
2020-06-10,311.7
2020-06-17,322.5
2020-06-24,312.7
2020-07-01,308.7
2020-07-08,325.2
2020-07-15,305.4
2020-07-22,310.9
2020-07-29,306.1
2020-08-05,300.7
2020-08-12,306.6
2020-08-19,308.9
2020-08-26,310.2
2020-09-02,309.6
2020-09-09,317.7
2020-09-16,316.2
2020-09-23,327.0
2020-09-30,320.9
2020-10-07,316.0
2020-10-14,311.1
2020-10-21,304.6
2020-10-28,305.2
2020-11-04,301.2
2020-11-11,293.5
2020-11-18,303.9
2020-11-25,314.6
2020-12-02,342.9
2020-12-09,325.7
2020-12-16,331.6
2020-12-23,316.3
2021-01-06,313.8
2021-01-13,338.9
2021-01-20,348.2
2021-01-27,334.2
2021-02-03,334.6
2021-02-10,318.8
2021-02-17,299.5
2021-02-24,264.9
2021-03-03,269.7
2021-03-10,289.0
2021-03-17,294.3
2021-03-24,301.9
2021-03-31,297.3
2021-04-07,283.6
2021-04-14,279.5
2021-04-21,295.5
2021-04-28,281.4
2021-05-05,274.5
2021-05-12,276.7
2021-05-19,265.3
2021-05-26,269.8
2021-06-02,261.4
2021-06-09,262.1
2021-06-16,266.3
2021-06-23,268.0
2021-06-30,255.2
2021-07-07,252.4
2021-07-14,273.3
2021-07-21,255.8
2021-07-28,251.7
2021-08-04,247.5
2021-08-11,252.0
2021-08-18,249.9
2021-08-25,257.5
2021-09-01,259.0
2021-09-08,258.4
2021-09-15,277.9
2021-09-22,283.9
2021-09-29,280.4
2021-10-06,275.7
2021-10-13,279.8
2021-10-20,266.2
2021-10-27,275.6
2021-11-03,271.1
2021-11-10,278.4
2021-11-17,282.5
2021-11-24,295.7
2021-12-01,310.7
2021-12-08,295.2
2021-12-15,297.2
2021-12-22,287.5
2022-01-05,277.3
2022-01-12,283.4
2022-01-19,305.7
2022-01-26,300.1
2022-02-02,312.2
2022-02-09,282.3
2022-02-16,279.0
2022-02-23,250.7
2022-03-02,246.3
2022-03-09,267.6
2022-03-16,269.5
2022-03-23,265.4
2022-03-30,267.1
2022-04-06,258.1
2022-04-13,261.8
2022-04-20,254.0
2022-04-27,234.7
2022-05-04,244.4
2022-05-11,255.4
2022-05-18,225.0
2022-05-25,225.5
2022-06-01,224.1
2022-06-08,208.2
2022-06-15,225.0
2022-06-22,242.8
