index,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2011-07-01,401343.8333333333,60304.666666666664,537929.4166666666,245037.83333333334,3141320.0,427374.5,299671.5833333333,75777.41666666667,51630.333333333336,1589284.3333333333,818268.3333333334,115635.58333333333,132365.75,1074899.9166666667,543756.5833333334,255992.75,239598.25,364761.6666666667,381741.9166666667,110857.33333333333,488538.9166666667,553206.8333333334,824987.75,446469.0833333333,248232.75,501180.4166666667,83267.08333333333,153823.66666666666,226214.83333333334,110224.83333333333,740437.0,173625.25,1635267.75,804475.1666666666,57449.25,963435.8333333334,315894.6666666667,323049.9166666667,1064987.8333333333,88283.5,389013.9166666667,68704.75,534369.0833333334,2140571.0833333335,235315.5,52481.916666666664,676643.4166666666,570041.0,154810.83333333334,476370.0,47332.333333333336
2011-10-01,401963.0833333333,60488.666666666664,539291.6666666666,245279.5,3148498.9166666665,428876.5833333333,299944.0,75964.5,51914.916666666664,1594445.1666666667,820481.5,116072.08333333333,132663.75,1075780.5,544341.25,256289.66666666666,240018.75,365215.0833333333,382343.3333333333,110890.58333333333,489846.8333333333,554582.6666666666,825621.3333333334,447261.0833333333,248358.41666666666,501558.9166666667,83429.41666666667,154158.91666666666,226862.08333333334,110349.5,741717.5,173830.5,1638768.9166666667,806240.75,57831.5,963869.0833333334,316535.3333333333,323665.5,1066026.4166666667,88399.33333333333,389867.4166666667,68914.0,535659.0833333334,2149781.0,236217.91666666666,52510.75,678587.25,571643.0833333334,154860.25,476861.0,47518.916666666664
2012-01-01,402492.6666666667,60663.166666666664,540489.0833333334,245461.5,3154818.5,430268.9166666667,300134.6666666667,76133.41666666667,52188.166666666664,1599102.3333333333,822534.1666666666,116479.66666666667,132925.41666666666,1076393.6666666667,544796.3333333334,256512.91666666666,240371.16666666666,365580.8333333333,382867.9166666667,110891.5,491049.4166666667,555814.8333333334,826050.5,447940.5,248435.5,501810.9166666667,83566.75,154451.16666666666,227449.58333333334,110447.5,742805.0,173977.75,1641850.6666666667,807816.75,58197.916666666664,964063.8333333334,317091.0833333333,324187.6666666667,1066774.6666666667,88490.83333333333,390632.0833333333,69105.58333333333,536824.1666666666,2158431.0,237067.16666666666,52527.5,680379.0,573099.3333333334,154867.58333333334,477227.75,47692.583333333336
2012-04-01,402991.6666666667,60836.333333333336,541654.1666666666,245635.5,3160904.9166666665,431659.8333333333,300320.4166666667,76294.91666666667,52455.75,1603604.6666666667,824523.4166666666,116879.58333333333,133191.33333333334,1076967.75,545250.25,256742.5,240726.83333333334,365952.75,383357.5833333333,110896.58333333333,492207.75,557054.75,826460.0,448636.1666666667,248486.66666666666,502061.6666666667,83706.16666666667,154745.75,228023.66666666666,110548.16666666667,743853.9166666666,174107.5,1644830.0,809348.0833333334,58567.083333333336,964249.6666666666,317644.75,324713.75,1067508.25,88580.75,391363.4166666667,69297.91666666667,537975.9166666666,2166906.0,237925.16666666666,52543.083333333336,682141.0,574559.4166666666,154877.83333333334,477607.3333333333,47868.25
2012-07-01,403614.3333333333,61007.25,542984.9166666666,245849.66666666666,3168222.5833333335,433255.3333333333,300552.9166666667,76490.75,52747.833333333336,1608842.1666666667,826491.75,117300.33333333333,133547.16666666666,1077903.9166666667,545985.5,257139.5,241085.5,366460.5,383960.0833333333,110946.75,493427.6666666667,558498.5,827169.9166666666,449548.75,248618.25,502504.6666666667,83908.58333333333,155090.41666666666,228689.5,110665.91666666667,745141.0833333334,174295.33333333334,1648215.8333333333,811181.0,59000.166666666664,965011.75,318351.6666666667,325325.75,1068522.9166666667,88699.5,392243.0,69501.25,539158.0833333334,2175747.1666666665,238909.75,52587.083333333336,683962.0,576181.4166666666,154904.33333333334,478172.8333333333,48024.25
2012-10-01,404227.3333333333,61165.0,544287.5833333334,246025.08333333334,3175725.0833333335,434902.25,300726.6666666667,76697.25,53042.0,1614203.4166666667,828191.5,117717.08333333333,133951.25,1078827.3333333333,546821.5,257607.08333333334,241358.83333333334,366987.0,384556.0833333333,111006.58333333333,494548.3333333333,559944.3333333334,827904.1666666666,450518.5,248760.75,502971.25,84148.0,155424.83333333334,229372.33333333334,110766.08333333333,746397.3333333334,174472.08333333334,1651421.9166666667,813051.0,59477.666666666664,966022.3333333334,319104.5833333333,325899.4166666667,1069415.0,88813.75,393148.1666666667,69689.83333333333,540198.4166666666,2184225.5833333335,239945.08333333334,52641.916666666664,685622.6666666666,577769.25,154894.08333333334,478754.0,48146.083333333336
2013-01-01,404646.5,61298.583333333336,545309.9166666666,246078.25,3181737.8333333335,436344.75,300747.1666666667,76867.0,53313.333333333336,1618661.3333333333,829539.75,118078.16666666667,134287.25,1079228.0,547392.4166666666,257933.08333333334,241507.75,367337.4166666667,384978.25,111006.33333333333,495443.0,561112.4166666666,828225.9166666666,451261.0,248790.33333333334,503183.8333333333,84342.25,155679.41666666666,229946.25,110810.91666666667,747276.9166666666,174560.41666666666,1653813.4166666667,814539.9166666666,59922.833333333336,966546.5833333334,319701.9166666667,326302.6666666667,1069738.0,88882.41666666667,393868.6666666667,69845.33333333333,540979.1666666666,2191701.0833333335,240873.58333333334,52671.833333333336,686967.3333333334,579075.5,154800.16666666666,479090.3333333333,48246.083333333336
2013-04-01,405092.4166666667,61431.25,546348.9166666666,246153.58333333334,3187646.4166666665,437829.0833333333,300794.1666666667,77037.5,53585.75,1623157.5,830919.5833333334,118415.25,134641.83333333334,1079703.9166666667,548031.6666666666,258300.0,241683.33333333334,367736.1666666667,385416.8333333333,111024.75,496346.4166666667,562348.75,828628.8333333334,452066.75,248830.66666666666,503458.25,84546.83333333333,155953.08333333334,230522.0,110874.83333333333,748181.4166666666,174645.66666666666,1656245.0,816080.4166666666,60378.25,967183.75,320323.5,326741.0833333333,1070183.6666666667,88960.66666666667,394607.8333333333,70008.83333333333,541814.8333333334,2199186.9166666665,241830.83333333334,52708.833333333336,688357.5,580429.3333333334,154731.75,479494.3333333333,48352.416666666664
2013-07-01,405650.9166666667,61503.833333333336,547794.5,246321.0,3194929.5,439502.5833333333,300943.5,77243.5,53836.75,1628908.9166666667,832804.1666666666,118719.08333333333,135081.66666666666,1080312.6666666667,548779.75,258753.08333333334,241937.16666666666,368156.0,385943.9166666667,111103.33333333333,497407.0,563763.3333333334,829328.75,453029.6666666667,248920.0,503895.0833333333,84766.75,156304.16666666666,231281.66666666666,111017.08333333333,749346.8333333334,174722.91666666666,1659040.1666666667,817848.0,60797.666666666664,968135.0833333334,320957.75,327478.8333333333,1071058.3333333333,89075.33333333333,395616.0,70175.08333333333,542896.9166666666,2208337.0,242801.16666666666,52750.916666666664,689874.0,582224.9166666666,154701.5,480041.0,48416.083333333336
2013-10-01,406201.0,61506.583333333336,549488.25,246505.75,3202781.8333333335,441236.9166666667,301095.4166666667,77459.41666666667,54049.833333333336,1635326.25,834980.6666666666,118976.0,135569.33333333334,1080715.5833333333,549475.5,259205.33333333334,242188.5,368490.0833333333,386448.5833333333,111208.41666666667,498479.25,565170.5833333334,830062.75,454002.8333333333,248991.08333333334,504334.5833333333,84973.41666666667,156677.5,232159.58333333334,111206.41666666667,750524.6666666666,174738.08333333334,1661669.8333333333,819610.3333333334,61164.0,969088.0,321514.1666666667,328406.4166666667,1071974.9166666667,89193.66666666667,396781.3333333333,70321.91666666667,544064.0833333334,2218566.75,243726.58333333334,52781.416666666664,691332.9166666666,584290.25,154656.66666666666,480569.75,48425.416666666664
