,state,current,forecast,rmse_baseline,rmse_train,rmse_test,mae_baseline,mae_train,mae_test,mape_baseline,mape_train,mape_test
37,oregon,-26.504601558831553,-0.001519361926186586,28571.4,1742.74,9834.89,8537.89,526.81,2144.55,8.04391888714922e+18,4.133697813128514e+17,3.665356919950852e+17
38,pennsylvania,-10.617962652716216,-0.004997079379763179,121938.39,4981.99,43672.33,35884.82,1623.76,9650.67,3.716894074867032e+19,3.8720103708464723e+17,4.261856919135163e+17
39,rhode_island,-15.49769690434556,-0.004047789746945243,8776.03,937.46,3168.38,2669.97,211.96,810.73,2.606021713555774e+18,4.244088114901884e+16,5.983901261745841e+16
40,south_carolina,-14.799453746540124,0.0001356239377111601,24145.89,1683.19,9284.25,7307.1,473.12,2094.69,7.883895136796004e+18,6.240908259051725e+17,1.1403485019503772e+18
41,south_dakota,-26.304867472600733,-0.0024210278540238886,2679.98,241.26,917.04,918.89,82.55,251.6,8.331428400976262e+17,4.877023151477995e+16,5.402663629320638e+16
42,tennessee,-8.892641181950452,-0.0012546338352227683,29725.0,6495.17,12587.51,8866.95,1048.13,3107.81,4.343980560280316e+18,1.3140855093258207e+18,2.0870570868161848e+18
43,texas,-7.033935089578037,-0.00787074509286,153629.69,9010.42,47620.53,46284.19,2445.06,10977.92,3.728117027215521e+19,3.0797425443930516e+18,3.9373994365811937e+18
44,utah,-25.482291399802065,-0.00215922216390408,8218.17,2304.05,3259.37,2740.64,501.19,892.44,1.9230432247167542e+18,5.126678277344135e+17,5.943412364474469e+17
45,vermont,-8.58909928195672,-0.0009135698478437374,5811.81,265.61,1810.7,1698.6,84.99,423.81,1.771287240816745e+18,1.8922569673871708e+16,2.623874243234942e+16
46,virginia,-16.825873496907207,-0.006746277354175869,43362.86,2041.69,16641.79,12702.31,494.88,4011.51,1.0444760842286092e+19,3.887306241497378e+17,2.0111704606761126e+18
47,washington,-17.60682415415937,-0.001025818802273394,58862.31,2696.63,24255.74,17908.46,868.0,4817.19,1.3623951515600423e+19,9.518653634161348e+17,4.893634916505829e+17
48,west_virginia,-16.009755669307523,-0.0007266288971206545,9933.24,619.65,3219.82,2938.93,188.51,742.24,3.155361779720636e+18,1.8673571321095696e+16,3.1441717265543644e+16
49,wisconsin,-19.510401128533715,-0.002890665229837299,32042.05,2960.36,9945.89,9989.6,893.84,2490.72,9.972389337754569e+18,3.0986611836630957e+17,3.8817868915434605e+17
50,wyoming,-10.945084077811245,-0.0020493634397912436,2727.33,351.8,749.27,874.92,93.74,224.38,1.0124136380868129e+18,1.2166041437799418e+16,4.4976413452264344e+16
